Image_ID,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std,RGB_Min,RGB_Max,RGB_Mean,RGB_Std,VV_Min,VV_Max,VV_Mean,VV_Std,VH_Min,VH_Max,VH_Mean,VH_Std
1059A,-0.5879397,0.9147395,0.5703858,0.19474413,9.0,255.0,49.84509,23.558592,7.0,255.0,126.53442,20.035751,0.0,186.0,65.46235,20.322153
1059B,0.032938756,0.8557676,0.5834024,0.20815219,11.0,255.0,54.83196,25.406124,57.0,223.0,127.765724,17.077248,0.0,154.0,62.134357,16.81371
105A,0.22447014,0.91591096,0.5812372,0.0835953,0.0,152.0,24.065645,12.590006,51.0,196.0,144.46484,19.252829,0.0,113.0,67.44182,13.4451475
105B,0.08888889,0.88430476,0.68688035,0.07118024,0.0,174.0,38.51988,15.5337925,42.0,198.0,111.27187,19.4117,0.0,117.0,44.794174,28.95907
1060A,0.078056954,0.81848365,0.50503737,0.17252117,20.0,234.0,65.805534,22.13927,41.0,171.0,117.14099,17.46174,0.0,123.0,55.049274,24.629498
1060B,0.077963404,0.8088235,0.53117216,0.16252623,19.0,197.0,61.41572,21.973154,28.0,190.0,118.37362,17.474443,0.0,114.0,55.483612,24.808401
1061A,-0.9921875,0.9479413,0.20404187,0.5770914,3.0,223.0,29.543386,15.449013,0.0,182.0,91.4448,49.143047,0.0,116.0,42.19853,33.07106
1061B,-0.98657715,0.9520181,0.18651265,0.65872675,0.0,255.0,30.905443,18.67304,0.0,254.0,92.9964,49.608234,0.0,167.0,45.573105,34.378468
1062A,0.0635861,0.8206147,0.5134109,0.09095984,6.0,251.0,41.970657,15.100092,53.0,236.0,116.60331,18.630215,0.0,151.0,61.131836,17.982115
1062B,-0.3452381,0.8545504,0.5022706,0.08297569,3.0,255.0,40.98816,14.038353,9.0,249.0,112.77786,16.315214,0.0,153.0,57.19289,16.102566
1063A,0.021540118,0.90334034,0.4174894,0.13323736,3.0,255.0,72.88116,29.828552,9.0,255.0,114.80538,17.77834,0.0,124.0,51.472153,15.715843
1063B,0.059409462,0.91271234,0.4509954,0.14702958,2.0,255.0,70.18894,30.659454,7.0,232.0,114.45814,18.83448,0.0,130.0,50.80934,17.172604
1064A,-0.31981826,0.8541217,0.31928483,0.21016121,1.0,255.0,71.14756,41.530544,2.0,255.0,104.47991,19.27956,0.0,156.0,40.608685,25.570065
1064B,-0.1437096,0.8271346,0.22054602,0.14162213,3.0,255.0,84.20575,36.551544,0.0,255.0,102.10087,19.439512,0.0,207.0,34.13265,22.9894
1065A,-0.08136483,0.89582354,0.4869586,0.09989977,0.0,174.0,51.27809,14.547205,0.0,169.0,114.4989,22.258923,0.0,118.0,58.253475,25.841776
1065B,-0.24770643,0.8856152,0.46262553,0.08256615,7.0,137.0,46.357464,14.110794,20.0,176.0,123.32407,20.333582,0.0,119.0,67.36489,22.505009
1066A,0.19287252,0.81946135,0.6009895,0.079719864,22.0,125.0,53.24503,12.829004,56.0,188.0,115.6449,13.209704,0.0,134.0,61.09372,14.463613
1066B,0.20786998,0.82099164,0.57485706,0.09431603,25.0,101.0,51.710255,10.823088,49.0,182.0,108.49243,16.83355,0.0,129.0,52.62715,16.99444
1067A,0.19254659,0.9083824,0.8097886,0.061046835,11.0,119.0,29.658922,9.564404,25.0,237.0,147.58995,21.90119,0.0,172.0,92.824554,21.196476
1067B,0.1489899,0.9028897,0.8111087,0.054254994,9.0,174.0,29.78771,10.0503845,20.0,255.0,137.65439,25.313406,0.0,204.0,84.7119,24.214533
1068A,-0.21823472,0.9160976,0.49189425,0.20878905,12.0,255.0,60.511562,30.957554,28.0,244.0,115.61859,22.684795,0.0,145.0,59.49268,24.330912
1068B,-0.031453364,0.92390406,0.49971396,0.19870093,10.0,255.0,60.48601,28.79128,6.0,255.0,115.81549,21.369999,0.0,164.0,61.04784,22.536598
1069A,-0.06811146,0.9996112,0.23965432,0.19013453,0.0,255.0,136.74236,67.17858,15.0,215.0,93.42007,23.500196,0.0,159.0,34.71144,24.854826
1069B,-0.3836434,0.9997078,0.17907247,0.12401717,0.0,255.0,151.31252,58.381172,0.0,237.0,90.45222,24.813814,0.0,144.0,26.771387,22.71689
106A,-0.2844221,0.82623225,0.33281687,0.12145945,5.0,216.0,56.446995,26.04686,5.0,166.0,85.39255,18.681675,0.0,94.0,27.976746,21.046146
106B,-0.3618677,0.8181818,0.2752145,0.14252244,5.0,235.0,62.674774,26.756027,0.0,203.0,81.46781,21.057573,0.0,134.0,17.107533,21.895039
1070A,-0.531445,0.904658,0.4193989,0.18855953,8.0,255.0,67.362526,33.946423,16.0,255.0,123.46563,24.415565,0.0,248.0,69.22864,22.960657
1070B,-0.37708566,0.9322265,0.56328714,0.20925015,4.0,255.0,48.534836,28.362455,28.0,255.0,122.53272,19.22955,0.0,215.0,71.769714,19.755644
1071A,0.119170986,0.8800105,0.48262557,0.11889215,11.0,127.0,42.960873,14.753522,22.0,221.0,124.702324,19.098783,0.0,155.0,70.14995,19.211092
1071B,0.106992416,0.90122837,0.49454826,0.121404864,10.0,124.0,41.59035,12.903696,22.0,231.0,129.75487,20.60885,0.0,164.0,76.677246,19.817621
1072A,0.14565827,0.87614816,0.70190704,0.07033006,14.0,111.0,32.489132,9.968719,67.0,184.0,134.08101,11.809452,14.0,132.0,79.50292,11.152
1072B,0.11395647,0.86448467,0.71092886,0.07189636,13.0,95.0,30.156706,8.601068,67.0,187.0,134.07701,11.372819,16.0,131.0,78.63995,10.57985
