Image_ID,NDVI_Min,NDVI_Max,NDVI_Mean,NDVI_Std
20A,-0.019877676,0.999273,0.46415,0.20783952
20B,-0.08609272,0.9875895,0.4234965,0.16826853
210A,0.45101398,0.8623085,0.7873637,0.033143412
210B,0.41096625,0.8651441,0.70107734,0.07805567
211A,0.08042803,0.7738453,0.3316024,0.07851979
211B,0.12362972,0.80624455,0.3850332,0.08531901
212A,-0.12981904,0.827693,0.3036221,0.08980494
212B,-0.014789534,0.8431785,0.39050624,0.11183747
213A,-0.6376812,0.27272728,-0.17037475,0.08667283
213B,-0.9872612,0.9269537,0.027282055,0.51012266
214A,-0.24424553,0.905244,0.68361974,0.12206072
214B,-0.31656486,0.89135516,0.6569246,0.11568913
215A,0.061250806,0.8917937,0.7789595,0.14823449
215B,0.06952315,0.8992154,0.8188603,0.07538137
216A,0.61214423,0.9134199,0.83391917,0.023294289
216B,0.013389711,0.9133519,0.8401978,0.033820566
217A,-0.39713973,0.9179136,0.49202543,0.21074492
217B,-0.2747253,0.8972251,0.46673974,0.17021577
218A,0.0149700595,0.9149102,0.7581396,0.109173246
218B,0.18599221,0.91942585,0.72145414,0.099114336
219A,0.0,0.86004764,0.7017647,0.07308556
219B,0.11348916,0.8659158,0.64805025,0.0905906
21A,-0.23856749,0.89755213,0.6397376,0.1546381
21B,-0.30982658,0.9181509,0.5744957,0.15834978
220A,-0.38129497,0.8901051,0.5088273,0.1992852
220B,-0.12195122,0.8971259,0.54056895,0.14217786
221A,-0.014950166,0.83672065,0.49682945,0.12504749
221B,0.0746826,0.8298573,0.48093203,0.106965475
222A,-0.07692308,0.82950616,0.4501512,0.12375652
222B,-0.058532562,0.83693844,0.47443336,0.12440316
223A,0.12099411,0.84245175,0.52743423,0.14940697
223B,0.15766455,0.8550962,0.6844927,0.10571449
224A,-0.2522839,0.90736145,0.5566819,0.1627691
224B,-0.40682414,0.9122215,0.5996218,0.16338827
225A,-0.7247924,0.8996335,0.3619928,0.2474948
225B,-0.7647059,0.8959206,0.3465334,0.23770304
226A,-0.4060606,0.96925706,0.7326418,0.1507084
226B,-0.54332316,0.9567474,0.76526266,0.14115831
227A,-0.16934866,0.86080104,0.30898875,0.10815276
227B,-0.4915254,0.9146771,0.345708,0.1314157
228A,-0.09360318,0.97936374,0.5793127,0.24957974
228B,-0.093817204,0.9749764,0.63518983,0.2556208
229A,0.18189582,0.8417068,0.711824,0.0614714
229B,0.036676403,0.88038427,0.73316187,0.07969588
22A,-0.054766733,0.87673956,0.62119174,0.14592882
22B,0.0689223,0.909166,0.6448725,0.14809822
230A,0.50801986,0.9396472,0.87284243,0.030671088
230B,0.58861524,0.9482685,0.8798023,0.027698966
231A,-0.41058657,0.10384069,-0.14614506,0.0468835
231B,-0.36795253,0.1468144,-0.14940226,0.044206146
232A,-0.5719406,0.93100685,0.7460856,0.20447606
232B,-0.26867256,0.9293831,0.80561554,0.115011156
