Unnamed: 0,Initial dates,End dates,Latitud,Longitudes,Cloudiness Mean,Water percentage Mean,Vegetation percentage Mean,Year,Month,Duration_Days
373,2020-09-27,2020-12-27,-4.565140488427076,-61.88955506467046,1.873985,3.905906,91.687238,2020,9,91
374,2022-04-01,2022-07-01,-32.47483465287943,116.0937249502315,0.4650844285714286,0.1913068571428571,53.48639828571429,2022,4,91
375,2021-05-24,2021-08-24,-19.15328678710211,48.19570115241862,1.616078454545455,15.28246172727273,79.7685341818182,2021,5,92
376,2022-04-13,2022-07-13,-12.60964066927576,-48.51484875697105,0.032352,2.305075083333334,71.53920025000001,2022,4,91
377,2019-03-18,2019-06-18,-19.85146892345137,144.8667322234419,0.8515675,0.0924315,67.71373425,2019,3,92
378,2023-08-21,2023-11-21,32.74627043905079,130.7758452621381,1.031487333333333,18.200791,62.00969799999999,2023,8,92
379,2019-09-17,2019-12-17,-4.361734179333901,-65.11973446015745,3.627800333333333,0.5045393333333333,94.58829766666668,2019,9,91
380,2022-06-13,2022-09-13,-19.2225276861118,145.7727616041382,0.4889124444444444,0.137053,49.18238266666666,2022,6,92
381,2021-09-03,2021-12-03,-11.36788153530758,-37.2905290547437,4.464753,20.259909,67.677522,2021,9,91
382,2020-08-24,2020-11-24,21.28049224920985,106.0247366270311,0.349737,2.665415,64.968139,2020,8,92
383,2019-09-28,2019-12-28,21.74645498087575,97.48324754340018,0.5592461999999999,0.0243164,89.1690196,2019,9,91
384,2023-04-22,2023-07-22,-17.91882589725736,-56.12980445304086,0.605011375,0.256743125,94.346804,2023,4,91
385,2019-02-08,2019-05-08,-20.76526124832285,30.3745069179059,0.8433105,0.9942943571428572,65.90129042857144,2019,2,89
386,2022-01-28,2022-04-28,38.77053219218678,-8.214387139221486,0.350045,1.2448455,77.752641,2022,1,90
387,2021-03-28,2021-06-28,6.662996082151864,32.03191254688687,0.9277925,1.017908,44.1529065,2021,3,92
388,2023-03-09,2023-06-09,-26.31935480704556,23.5042968223004,0.000581,0.004535,22.132617,2023,3,92
389,2019-02-08,2019-05-08,19.06866729131828,-96.54588778398708,1.49023225,20.095318,40.07564825,2019,2,89
390,2023-02-15,2023-05-15,26.20183637461808,92.18907359946404,3.733953666666666,2.941906666666667,42.78571200000001,2023,2,89
391,2020-07-28,2020-10-28,16.05522266842328,35.44262104431454,0.7479305,0.0965255,24.1800965,2020,7,92
392,2023-02-15,2023-05-15,-19.53156972198964,44.77410552486009,1.929072857142857,20.55629414285714,64.53589628571429,2023,2,89
393,2023-02-14,2023-05-14,20.09332009295656,103.3032462331485,3.2407705,0.0001915,80.33986700000001,2023,2,89
394,2022-09-13,2022-12-13,-7.749014097424705,-46.93322113586348,0.252262,1.030196,43.012327,2022,9,91
395,2021-02-07,2021-05-07,22.76329678293762,88.25865860237724,0.8026704,5.416187,39.6311334,2021,2,89
396,2018-05-19,2018-08-19,37.19696902386775,27.98882051844313,1.59578464,6.6010746,43.04196196,2018,5,92
397,2019-03-06,2019-06-06,-33.90246700512947,150.7025020314189,1.39666125,0.94087575,87.28365000000001,2019,3,92
398,2020-08-11,2020-11-11,-3.094734312292417,-67.18299583747509,2.03070275,1.72214425,93.970722125,2020,8,92
399,2020-05-27,2020-08-27,-6.638938760619524,111.2758266032705,0.275324,36.652872,40.921485,2020,5,92
400,2021-04-03,2021-07-03,-3.216099896722312,25.39960052983341,2.270886333333333,0.0008046666666666,87.85842066666667,2021,4,91
401,2018-04-02,2018-07-02,36.1427967681223,8.582740241221614,0.8838246666666668,8.480042,49.19281850000001,2018,4,91
402,2020-07-08,2020-10-08,-21.05389393843609,-59.05955630661718,0.4607092307692308,0.0260523846153846,53.99948292307693,2020,7,92
403,2019-03-22,2019-06-22,20.26820532049201,-76.06822479155632,2.53386,16.31622,76.409715,2019,3,92
404,2023-06-10,2023-09-10,-31.97067430572547,-62.12713480327528,0.9979585,0.00048025,23.783018625,2023,6,92
405,2019-01-18,2019-04-18,-26.1879448323116,-55.84802546360746,1.5730785,1.792719375,76.80237275,2019,1,90
406,2019-09-27,2019-12-27,-9.222359691337523,-37.0254101195876,0.6077865,0.201636,49.98449650000001,2019,9,91
407,2019-05-14,2019-08-14,-9.529950697654606,-52.65024142369393,0.6927708571428571,1.402699214285714,93.75656628571429,2019,5,92
408,2021-03-24,2021-06-24,-34.59457947329231,149.6856610331755,0.7118185,0.57019575,90.11943625,2021,3,92
